====================================================================================================
QR-Pivot 感測點座標與數值表格
====================================================================================================

 Index  Global_ID            x            y            z            u            v            w          |U|
----------------------------------------------------------------------------------------------------
     0      11443     1.079922     4.393321     0.000000    -1.068291     0.400577     0.000000     1.140924
     1      43437     4.147884     4.246059     0.000000    -0.779660    -0.240117     0.000000     0.815798
     2      53102     5.080544     2.699806     0.000000     0.006000    -0.370471     0.000000     0.370519
     3      16238     1.546253     2.699806     0.000000    -0.146795     0.636422     0.000000     0.653132
     4      23792     2.258020     5.890486     0.000000    -1.158488    -1.120620     0.000000     1.611795
     5      53753     5.129632     6.111379     0.000000    -0.670208    -0.363765     0.000000     0.762564
     6      51357     4.908739     3.853360     0.000000    -0.527163    -0.889768     0.000000     1.034208
     7      18750     1.791690     1.521709     0.000000    -0.373606     0.982368     0.000000     1.051013
     8      38129     3.632467     5.915030     0.000000    -1.268941     0.484820     0.000000     1.358404
     9      44661     4.270603     2.871612     0.000000    -0.257758    -0.634070     0.000000     0.684459
    10      49120     4.687845     5.497787     0.000000    -0.945362    -0.659981     0.000000     1.152946
    11      61287     5.865943     2.528000     0.000000    -0.399616    -0.965674     0.000000     1.045092
    12       4141     0.392699     1.104466     0.000000     0.003203    -0.230502     0.000000     0.230524
    13      22363     2.135301     2.233476     0.000000     0.691707    -0.264205     0.000000     0.740447
    14      39627     3.779729     4.982370     0.000000     0.444702    -0.151539     0.000000     0.469812
    15      54593     5.227807     1.595340     0.000000     1.319951    -0.761418     0.000000     1.523820
    16      44692     4.270603     3.632467     0.000000     0.072988    -0.682124     0.000000     0.686017
    17      12100     1.153554     1.668971     0.000000    -0.088685     0.839305     0.000000     0.843977
    18       5536     0.515418     3.926991     0.000000    -0.186121     0.579400     0.000000     0.608560
    19      35975     3.436117     3.313399     0.000000     0.933525     0.478620     0.000000     1.049069
    20      39723     3.804272     1.055379     0.000000     0.061508    -0.014364     0.000000     0.063163
    21      26128     2.503457     0.392699     0.000000     0.730796    -0.060908     0.000000     0.733330
    22      34724     3.313399     4.025166     0.000000    -0.244220     0.694681     0.000000     0.736359
    23      32219     3.067962     5.375069     0.000000     0.165265     1.002864     0.000000     1.016390
    24      33559     3.215224     0.564505     0.000000     1.226879     0.443645     0.000000     1.304627
    25      27468     2.626175     1.865321     0.000000     0.765016    -0.942520     0.000000     1.213917
    26      37724     3.607923     2.258020     0.000000    -0.048190     0.043939     0.000000     0.065215
    27      14827     1.398990     5.767768     0.000000    -0.551002     0.392487     0.000000     0.676498
    28       4210     0.392699     2.797981     0.000000    -0.911193     0.771020     0.000000     1.193626
    29      46091     4.417865     0.269981     0.000000     0.639364    -0.536313     0.000000     0.834517
    30       7395     0.687223     5.571418     0.000000     0.458542     0.501352     0.000000     0.679423
    31      28806     2.748894     3.288855     0.000000     1.083682    -0.220153     0.000000     1.105819
    32      17848     1.693515     4.516039     0.000000    -0.134659    -0.808506     0.000000     0.819644
    33      65411     6.258642     3.215224     0.000000    -0.885707     0.031124     0.000000     0.886254
    34      29231     2.797981     1.153554     0.000000    -0.556504    -0.478037     0.000000     0.733632
    35      63983     6.111379     5.865943     0.000000    -0.272884     0.322659     0.000000     0.422581
    36      55252     5.276894     5.203263     0.000000     0.367749     0.551247     0.000000     0.662656
    37      40200     3.853360     0.196350     0.000000     0.537876    -0.422068     0.000000     0.683705
    38      23451     2.233476     3.804272     0.000000     0.010595    -0.686772     0.000000     0.686854
    39      46166     4.417865     2.110758     0.000000     0.943457     0.002937     0.000000     0.943461
    40       5372     0.490874     6.185011     0.000000    -0.098108     0.458215     0.000000     0.468600
    41      10956     1.030835     5.006913     0.000000     0.233556    -0.057297     0.000000     0.240481
    42      47930     4.589671     1.423534     0.000000     0.067082     0.459591     0.000000     0.464461
    43      36977     3.534292     2.773437     0.000000    -1.026371     0.032806     0.000000     1.026895
    44      54824     5.252350     0.981748     0.000000    -0.500511    -0.270290     0.000000     0.568831
    45      58753     5.620506     3.166136     0.000000     0.061828     0.105813     0.000000     0.122552
    46      44015     4.196971     5.865943     0.000000    -1.019137    -0.411233     0.000000     1.098978
    47      60319     5.767768     3.902447     0.000000     0.016278     0.669556     0.000000     0.669754
    48      11819     1.129010     1.055379     0.000000     0.415987     0.694683     0.000000     0.809709
    49      37954     3.632467     1.619884     0.000000     0.597213     0.160523     0.000000     0.618410
    50       8801     0.834486     2.380738     0.000000     0.336505     1.128622     0.000000     1.177720
    51       2749     0.245437     4.638758     0.000000    -0.825166     0.765141     0.000000     1.125318
    52      21883     2.086214     3.018874     0.000000     0.095089    -0.023257     0.000000     0.097892
    53      17918     1.693515     6.234098     0.000000     0.136662    -0.110289     0.000000     0.175614
    54       6933     0.662680     0.515418     0.000000     1.067142     0.545469     0.000000     1.198470
    55      11131     1.055379     3.018874     0.000000    -0.713278     0.811939     0.000000     1.080745
    56      51590     4.933282     3.288855     0.000000     0.681924    -0.511719     0.000000     0.852570
    57          9     0.000000     0.220893     0.000000     0.471969     0.141107     0.000000     0.492611
    58      47052     4.491496     5.006913     0.000000     0.434319    -0.794079     0.000000     0.905093
    59      26981     2.577088     2.478913     0.000000    -0.293535    -0.399481     0.000000     0.495730
    60      50357     4.810564     4.442408     0.000000    -0.348999    -0.602162     0.000000     0.695988
    61      32601     3.117049     2.184389     0.000000     0.070877    -0.587025     0.000000     0.591288
    62      30960     2.945243     5.890486     0.000000    -1.429951     0.376974     0.000000     1.478807
    63      54104     5.178719     2.159845     0.000000     0.666536    -0.564056     0.000000     0.873172
    64      65344     6.258642     1.570796     0.000000     1.114932    -0.105073     0.000000     1.119872
    65      57323     5.473243     5.767768     0.000000    -0.732951     0.079482     0.000000     0.737248
    66      23860     2.282563     1.276272     0.000000    -0.749030    -0.186928     0.000000     0.772003
    67      41558     3.976078     2.110758     0.000000     0.724515     0.289109     0.000000     0.780068
    68      18057     1.718058     3.362486     0.000000     0.324760    -0.062639     0.000000     0.330746
    69      47905     4.589671     0.809942     0.000000    -0.196171     0.327322     0.000000     0.381605
    70      19931     1.889864     5.375069     0.000000    -0.678889    -1.105911     0.000000     1.297663
    71      39902     3.804272     5.448700     0.000000    -0.202101    -0.062910     0.000000     0.211666
    72      28336     2.699806     4.319690     0.000000    -0.520074    -0.617933     0.000000     0.807663
    73       7498     0.711767     1.816233     0.000000     0.461356     0.641871     0.000000     0.790473
    74      53261     5.105088     0.319068     0.000000     0.138947    -0.187143     0.000000     0.233085
    75      31810     3.043418     1.619884     0.000000     0.697813    -0.490381     0.000000     0.852887
    76      18341     1.742602     4.049709     0.000000    -0.510575    -0.377896     0.000000     0.635210
    77      35000     3.337942     4.516039     0.000000    -1.045690     0.863422     0.000000     1.356085
    78      29186     2.797981     0.049087     0.000000    -0.333951     0.315159     0.000000     0.459183
    79      36100     3.460661     0.098175     0.000000    -0.180816     0.374301     0.000000     0.415687
    80       2267     0.196350     5.375069     0.000000     0.364644     0.630225     0.000000     0.728113
    81      61010     5.841399     2.012583     0.000000     1.042256    -0.768590     0.000000     1.295001
    82      60219     5.767768     1.448078     0.000000     1.076438    -0.814967     0.000000     1.350144
    83      30406     2.896156     4.859651     0.000000     0.169008     0.601174     0.000000     0.624479
    84      13786     1.300816     5.350525     0.000000     0.138490    -0.310394     0.000000     0.339888
    85      43063     4.123340     1.349903     0.000000    -0.245140     0.328613     0.000000     0.409976
    86      48372     4.614214     5.988661     0.000000    -0.774364    -0.585908     0.000000     0.971045
    87      17446     1.668971     0.932660     0.000000     0.203454     0.339446     0.000000     0.395749
    88      28569     2.724350     3.755185     0.000000     0.437053    -0.638318     0.000000     0.773605
    89      22044     2.110758     0.687223     0.000000     0.199619    -0.354283     0.000000     0.406650
    90      62096     5.939574     3.534292     0.000000     0.090434     0.386469     0.000000     0.396909
    91      61143     5.841399     5.276894     0.000000     0.303083     0.485760     0.000000     0.572557
    92      22021     2.110758     0.122718     0.000000     0.567626    -0.791959     0.000000     0.974371
    93      58566     5.595962     4.859651     0.000000    -0.367682     0.271113     0.000000     0.456828
    94      32622     3.117049     2.699806     0.000000    -0.744373    -0.277407     0.000000     0.794384
    95      57185     5.473243     2.380738     0.000000     0.004697    -0.742083     0.000000     0.742098
    96      24458     2.331651     3.387030     0.000000     0.822701    -0.514171     0.000000     0.970159
    97      27615     2.626175     5.473243     0.000000    -0.610028    -0.251404     0.000000     0.659801
    98      48762     4.663302     2.994330     0.000000     0.368137    -0.709332     0.000000     0.799173
    99      15706     1.497165     2.208932     0.000000     0.525431     0.847323     0.000000     0.997012

====================================================================================================

統計摘要:
  總感測點數量: 100
  x 範圍: [0.000000, 6.258642]
  y 範圍: [0.049087, 6.234098]
  z 範圍: [0.000000, 0.000000]

  速度大小範圍: [0.063163, 1.611795]
  平均速度大小: 0.764635
