====================================================================================================
QR-Pivot 感測點座標與數值表格
====================================================================================================

 Index  Global_ID            x            y            z            u            v            w          |U|
----------------------------------------------------------------------------------------------------
     0      20234     1.938952     0.245437     0.000000     1.618033    -0.308104     0.000000     1.647106
     1      53526     5.129632     0.539961     0.000000     2.433816     0.282737     0.000000     2.450184
     2      61319     5.865943     3.313399     0.000000    -1.818059     0.821118     0.000000     1.994887
     3       3055     0.269981     5.865943     0.000000     0.537043     0.142599     0.000000     0.555652
     4       4301     0.392699     5.031457     0.000000     0.734587     0.035887     0.000000     0.735463
     5      43996     4.196971     5.399612     0.000000     0.347940     0.413138     0.000000     0.540135
     6      45708     4.368777     3.436117     0.000000    -0.707637     0.094897     0.000000     0.713972
     7      31552     3.018874     1.570796     0.000000     0.301651    -0.846016     0.000000     0.898185
     8      40518     3.877903     1.718058     0.000000    -0.719090     0.946092     0.000000     1.188352
     9      54720     5.227807     4.712389     0.000000    -0.050309     0.502744     0.000000     0.505254
    10      28270     2.699806     2.699806     0.000000    -1.960255    -1.337210     0.000000     2.372916
    11      65446     6.258642     4.074253     0.000000    -0.273544    -0.424187     0.000000     0.504738
    12      48936     4.687845     0.981748     0.000000    -0.167556    -0.194175     0.000000     0.256474
    13      41582     3.976078     2.699806     0.000000    -1.182268     0.303999     0.000000     1.220727
    14      65353     6.258642     1.791690     0.000000    -1.592488     1.236754     0.000000     2.016328
    15      11094     1.055379     2.110758     0.000000    -0.584654     0.019371     0.000000     0.584975
    16      13503     1.276272     4.687845     0.000000    -0.356248     0.774051     0.000000     0.852096
    17      22858     2.184389     1.816233     0.000000    -0.329273    -1.021433     0.000000     1.073194
    18      48985     4.687845     2.184389     0.000000    -0.372266    -0.058522     0.000000     0.376838
    19      39179     3.755185     0.269981     0.000000     2.595054    -0.041752     0.000000     2.595390
    20      59956     5.743224     1.276272     0.000000    -0.457280     0.865941     0.000000     0.979265
    21      35730     3.411573     3.583379     0.000000    -0.989787    -0.998721     0.000000     1.406101
    22      17795     1.693515     3.215224     0.000000    -1.032105    -0.350778     0.000000     1.090085
    23      48961     4.687845     1.595340     0.000000    -1.122362    -0.494813     0.000000     1.226595
    24      30381     2.896156     4.246059     0.000000    -0.458276    -2.432484     0.000000     2.475277
    25      35030     3.337942     5.252350     0.000000     0.409443    -0.951031     0.000000     1.035424
    26      63197     6.037748     5.424156     0.000000     1.512746     0.405962     0.000000     1.566271
    27      41909     4.000622     4.442408     0.000000    -0.245547    -0.004886     0.000000     0.245595
    28      28452     2.724350     0.883573     0.000000     0.286966    -1.140456     0.000000     1.176005
    29       5246     0.490874     3.092505     0.000000    -1.525962     0.816084     0.000000     1.730478
    30      54751     5.227807     5.473243     0.000000     0.530822     0.183744     0.000000     0.561724
    31      12257     1.153554     5.522331     0.000000     1.358239     0.296921     0.000000     1.390314
    32       7587     0.711767     4.000622     0.000000     0.620136     0.200806     0.000000     0.651837
    33      21430     2.037126     4.466952     0.000000     0.311467     1.483361     0.000000     1.515708
    34      11572     1.104466     1.276272     0.000000    -0.979024     0.403045     0.000000     1.058741
    35      38699     3.706098     1.055379     0.000000    -0.276483    -0.191947     0.000000     0.336581
    36      61543     5.890486     2.528000     0.000000    -0.839271     0.750690     0.000000     1.126016
    37      31991     3.043418     6.062292     0.000000     1.417569    -0.438352     0.000000     1.483797
    38      20694     1.963495     5.252350     0.000000     1.522221     0.176653     0.000000     1.532437
    39      51362     4.908739     3.976078     0.000000    -0.225946     0.829410     0.000000     0.859635
    40      53118     5.080544     3.092505     0.000000    -1.430628     0.411851     0.000000     1.488730
    41      11516     1.079922     6.185011     0.000000     0.701364     0.082347     0.000000     0.706182
    42      35705     3.411573     2.969787     0.000000    -2.038357    -0.619005     0.000000     2.130273
    43      24208     2.307107     3.534292     0.000000    -1.732281    -0.768111     0.000000     1.894939
    44      47355     4.516039     6.160467     0.000000     1.531683     0.258956     0.000000     1.553419
    45       4536     0.417243     4.516039     0.000000    -1.012236    -0.604586     0.000000     1.179045
    46      53807     5.154175     1.153554     0.000000    -0.239526    -0.397452     0.000000     0.464048
    47      56141     5.375069     1.889864     0.000000    -1.438910     0.108941     0.000000     1.443028
    48      64277     6.160467     0.515418     0.000000     2.180301     1.018310     0.000000     2.406381
    49      35417     3.387030     2.184389     0.000000    -0.706051     0.621134     0.000000     0.940380
    50      26851     2.552544     5.571418     0.000000     1.120340    -0.673883     0.000000     1.307395
    51      17766     1.693515     2.503457     0.000000    -1.852366    -0.528730     0.000000     1.926348
    52      42139     4.025166     3.804272     0.000000    -0.291829    -0.085343     0.000000     0.304052
    53      47732     4.565127     2.847068     0.000000    -1.350299     0.186219     0.000000     1.363079
    54         44     0.000000     1.079922     0.000000     0.374386     1.309564     0.000000     1.362029
    55      28502     2.724350     2.110758     0.000000    -1.108330    -1.849326     0.000000     2.156015
    56      16193     1.546253     1.595340     0.000000    -0.151088    -0.458202     0.000000     0.482469
    57      20466     1.938952     5.939574     0.000000     1.133403    -0.015125     0.000000     1.133504
    58      60862     5.816855     4.663302     0.000000     0.132310     0.672476     0.000000     0.685369
    59      42953     4.098797     4.933282     0.000000     0.872415     0.653501     0.000000     1.090033
    60      11032     1.055379     0.589049     0.000000     1.125156    -0.188974     0.000000     1.140915
    61      54628     5.227807     2.454369     0.000000    -0.863190     0.439100     0.000000     0.968455
    62      15259     1.448078     3.804272     0.000000     0.448038     0.748294     0.000000     0.872171
    63      40177     3.828816     5.915030     0.000000     0.499422    -0.156299     0.000000     0.523309
    64       4185     0.392699     2.184389     0.000000    -0.421606     0.364091     0.000000     0.557058
    65      46350     4.442408     0.343612     0.000000     2.688797     0.232279     0.000000     2.698811
    66      55804     5.325981     6.185011     0.000000     1.500645     0.176814     0.000000     1.511026
    67      42330     4.049709     2.208932     0.000000    -0.108292     0.573837     0.000000     0.583966
    68      27078     2.577088     4.859651     0.000000     1.838848    -1.427975     0.000000     2.328191
    69      48572     4.638758     4.614214     0.000000    -0.533481     0.191952     0.000000     0.566963
    70       9614     0.908117     3.485204     0.000000     0.581417     0.485428     0.000000     0.757421
    71      49891     4.761476     5.571418     0.000000     0.210692     0.292535     0.000000     0.360511
    72      18726     1.791690     0.932660     0.000000    -0.441893    -0.199327     0.000000     0.484768
    73      58784     5.620506     3.926991     0.000000    -0.088270     0.608852     0.000000     0.615217
    74      11378     1.079922     2.797981     0.000000    -1.903637     0.349351     0.000000     1.935428
    75       2158     0.196350     2.699806     0.000000    -1.441313     0.788735     0.000000     1.643011
    76      30083     2.871612     3.215224     0.000000    -1.632254    -1.264806     0.000000     2.064943
    77       4244     0.392699     3.632467     0.000000     0.965703     0.169747     0.000000     0.980508
    78      54163     5.178719     3.607923     0.000000    -0.976302     1.012814     0.000000     1.406754
    79      16593     1.570796     5.129632     0.000000     0.695895     0.550595     0.000000     0.887370
    80      60913     5.816855     5.915030     0.000000     0.214496    -0.061976     0.000000     0.223270
    81       9681     0.908117     5.129632     0.000000     0.470590    -0.011548     0.000000     0.470732
    82      31501     3.018874     0.319068     0.000000     1.992228    -0.660614     0.000000     2.098901
    83      22899     2.184389     2.822525     0.000000    -1.861553    -1.045145     0.000000     2.134879
    84      41346     3.951535     3.190680     0.000000    -1.368317    -0.005974     0.000000     1.368330
    85      35774     3.411573     4.663302     0.000000     0.621937    -1.261639     0.000000     1.406605
    86      43300     4.147884     0.883573     0.000000     0.136874     0.093956     0.000000     0.166019
    87       5672     0.539961     0.981748     0.000000     0.500993     0.683386     0.000000     0.847355
    88       7396     0.687223     5.595962     0.000000     1.537489     0.381367     0.000000     1.584081
    89      24084     2.307107     0.490874     0.000000     1.161273    -0.634437     0.000000     1.323278
    90      22947     2.184389     4.000622     0.000000    -1.159022     0.497364     0.000000     1.261231
    91      36520     3.485204     4.123340     0.000000    -0.430138    -1.080868     0.000000     1.163312
    92      58133     5.571418     0.515418     0.000000     2.598339     0.632992     0.000000     2.674331
    93       5137     0.490874     0.417243     0.000000     1.447058     0.272872     0.000000     1.472561
    94      65470     6.258642     4.663302     0.000000    -0.217505     0.178764     0.000000     0.281540
    95        134     0.000000     3.288855     0.000000    -1.349948     0.668882     0.000000     1.506573
    96      24888     2.380738     1.374447     0.000000     0.114995    -1.220498     0.000000     1.225904
    97      26107     2.478913     6.160467     0.000000     1.509046    -0.441186     0.000000     1.572217
    98      44859     4.295146     1.448078     0.000000    -1.300473    -0.044859     0.000000     1.301246
    99      45990     4.393321     4.074253     0.000000    -0.449613     0.246161     0.000000     0.512588

====================================================================================================

統計摘要:
  總感測點數量: 100
  x 範圍: [0.000000, 6.258642]
  y 範圍: [0.245437, 6.185011]
  z 範圍: [0.000000, 0.000000]

  速度大小範圍: [0.166019, 2.698811]
  平均速度大小: 1.200292
