-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        ## Forward Pass         0.17%       1.185ms         0.41%       2.939ms     587.749us       0.000us         0.00%       7.820ms       1.564ms           0 b           0 b     410.56 Mb           0 b             5            --  
                                           aten::linear         0.02%     125.075us         0.18%       1.317ms      87.820us       0.000us         0.00%       6.990ms     466.000us           0 b           0 b     205.48 Mb           0 b            15            --  
                                            aten::addmm         0.09%     650.156us         0.14%     999.318us      66.621us       6.990ms         1.21%       6.990ms     466.000us           0 b           0 b     205.48 Mb     190.48 Mb            15        41.556  
                                          aten::sigmoid         0.31%       2.250ms         0.46%       3.313ms      41.407us       6.636ms         1.15%       6.636ms      82.956us           0 b           0 b       1.60 Gb       1.60 Gb            80            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.636ms         1.15%       6.636ms      82.956us           0 b           0 b           0 b           0 b            80            --  
                                maxwell_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us       6.135ms         1.06%       6.135ms     613.535us           0 b           0 b           0 b           0 b            10            --  
                                      sgemm_32x32x32_NN         0.00%       0.000us         0.00%       0.000us       0.000us       4.485ms         0.78%       4.485ms      81.548us           0 b           0 b           0 b           0 b            55            --  
                                            aten::fill_         0.41%       2.912ms         0.92%       6.609ms      20.982us       3.770ms         0.65%       3.770ms      11.969us           0 b           0 b           0 b           0 b           315            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.770ms         0.65%       3.770ms      11.969us           0 b           0 b           0 b           0 b           315            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.398ms         0.59%       3.398ms      45.303us           0 b           0 b           0 b           0 b            75            --  
      autograd::engine::evaluate_function: NegBackward0         0.03%     237.320us         0.15%       1.093ms      21.860us       0.000us         0.00%       3.330ms      66.602us           0 b           0 b     820.31 Mb    -275.00 Kb            50            --  
                                           NegBackward0         0.01%      94.962us         0.12%     855.682us      17.114us       0.000us         0.00%       3.330ms      66.602us           0 b           0 b     820.58 Mb           0 b            50            --  
void sgemm_largek_lds64<false, true, 6, 3, 4, 5, 2, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.738ms         0.47%       2.738ms      91.260us           0 b           0 b           0 b           0 b            30            --  
                                     sgemm_128x128x8_NT         0.00%       0.000us         0.00%       0.000us       0.000us       2.679ms         0.46%       2.679ms      44.642us           0 b           0 b           0 b           0 b            60            --  
                                     sgemm_128x128x8_NN         0.00%       0.000us         0.00%       0.000us       0.000us       1.368ms         0.24%       1.368ms      45.599us           0 b           0 b           0 b           0 b            30            --  
                                      ## Optimizer Step         0.07%     465.560us         0.84%       5.988ms       1.198ms       0.000us         0.00%       1.057ms     211.415us           0 b           0 b           0 b           0 b             5            --  
                               Optimizer.step#Adam.step         0.47%       3.372ms         0.77%       5.522ms       1.104ms       0.000us         0.00%       1.057ms     211.415us           0 b         -20 b           0 b     -11.35 Mb             5            --  
    autograd::engine::evaluate_function: SliceBackward0         0.27%       1.936ms         2.43%      17.353ms      96.404us       0.000us         0.00%       1.042ms       5.791us           0 b           0 b       4.97 Mb      -6.31 Mb           180            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 715.327ms
Self CUDA time total: 578.355ms
